Year,Month,FIPS,Beverage,Gallons,Ethanol,Population,PerCapita,State,Month.1,Month - Year (Word),Month - Year (Numeric),Month - Year (Date)
2017,1,51,2,1879813,242496,7015247,0.0346,Virginia,January,January 2017,1 2017,2017-01-01
2017,1,55,2,1277174,164756,4805415,0.0343,Wisconsin,January,January 2017,1 2017,2017-01-01
2017,1,2,3,787407,35433,593378,0.0597,Alaska,January,January 2017,1 2017,2017-01-01
2017,1,5,3,3400200,153009,2455022,0.0623,Arkansas,January,January 2017,1 2017,2017-01-01
2017,1,8,3,8181014,368146,4634346,0.0794,Colorado,January,January 2017,1 2017,2017-01-01
2017,1,9,3,3450020,155251,3015481,0.0515,Connecticut,January,January 2017,1 2017,2017-01-01
2017,1,10,3,1152239,51851,799550,0.0648,Delaware,January,January 2017,1 2017,2017-01-01
2017,1,12,3,30220321,1359914,17722275,0.0767,Florida,January,January 2017,1 2017,2017-01-01
2017,1,17,3,15922784,716525,10556100,0.0679,Illinois,January,January 2017,1 2017,2017-01-01
2017,1,20,3,4174028,187831,2356231,0.0797,Kansas,January,January 2017,1 2017,2017-01-01
2017,1,21,3,5959564,268180,3670568,0.0731,Kentucky,January,January 2017,1 2017,2017-01-01
2017,1,25,3,8185604,368352,5815595,0.0633,Massachusetts,January,January 2017,1 2017,2017-01-01
2017,1,29,3,9474397,426348,5037634,0.0846,Missouri,January,January 2017,1 2017,2017-01-01
2017,1,38,3,1480113,66605,613251,0.1086,North Dakota,January,January 2017,1 2017,2017-01-01
2017,1,41,3,6073741,273318,3468412,0.0788,Oregon,January,January 2017,1 2017,2017-01-01
2017,1,47,3,8237299,370678,5545920,0.0668,Tennessee,January,January 2017,1 2017,2017-01-01
2017,1,48,3,52609593,2367432,22572383,0.1049,Texas,January,January 2017,1 2017,2017-01-01
2017,1,51,3,10272274,462252,7015247,0.0659,Virginia,January,January 2017,1 2017,2017-01-01
2017,2,2,1,120929,49702,593378,0.0838,Alaska,February,February 2017,2 2017,2017-02-01
2017,2,5,1,257696,105913,2455022,0.0431,Arkansas,February,February 2017,2 2017,2017-02-01
2017,2,8,1,929497,382023,4634346,0.0824,Colorado,February,February 2017,2 2017,2017-02-01
2017,2,9,1,577939,237533,3015481,0.0788,Connecticut,February,February 2017,2 2017,2017-02-01
2017,2,10,1,228514,93919,799550,0.1175,Delaware,February,February 2017,2 2017,2017-02-01
2017,2,12,1,3423792,1407178,17722275,0.0794,Florida,February,February 2017,2 2017,2017-02-01
2017,2,17,1,1419199,583291,10556100,0.0553,Illinois,February,February 2017,2 2017,2017-02-01
2017,2,20,1,322364,132492,2356231,0.0562,Kansas,February,February 2017,2 2017,2017-02-01
2017,2,21,1,262904,108053,3670568,0.0294,Kentucky,February,February 2017,2 2017,2017-02-01
2017,2,22,1,700315,287829,3807282,0.0756,Louisiana,February,February 2017,2 2017,2017-02-01
2017,2,25,1,812741,334037,5815595,0.0574,Massachusetts,February,February 2017,2 2017,2017-02-01
2017,2,29,1,956038,392932,5037634,0.078,Missouri,February,February 2017,2 2017,2017-02-01
2017,2,38,1,137002,56308,613251,0.0918,North Dakota,February,February 2017,2 2017,2017-02-01
2017,2,47,1,663475,272688,5545920,0.0492,Tennessee,February,February 2017,2 2017,2017-02-01
2017,2,48,1,2965700,1218903,22572383,0.054000000000000006,Texas,February,February 2017,2 2017,2017-02-01
2017,2,49,1,234844,96521,2376114,0.0406,Utah,February,February 2017,2 2017,2017-02-01
2017,2,51,1,830462,341320,7015247,0.0487,Virginia,February,February 2017,2 2017,2017-02-01
2017,2,55,1,889002,365380,4805415,0.076,Wisconsin,February,February 2017,2 2017,2017-02-01
2017,2,2,2,163072,21036,593378,0.0355,Alaska,February,February 2017,2 2017,2017-02-01
2017,2,5,2,310160,40011,2455022,0.0163,Arkansas,February,February 2017,2 2017,2017-02-01
2017,2,8,2,1482717,191270,4634346,0.0413,Colorado,February,February 2017,2 2017,2017-02-01
2017,2,9,2,1023038,131972,3015481,0.0438,Connecticut,February,February 2017,2 2017,2017-02-01
2017,2,10,2,314031,40510,799550,0.0507,Delaware,February,February 2017,2 2017,2017-02-01
2017,2,12,2,6685572,862439,17722275,0.0487,Florida,February,February 2017,2 2017,2017-02-01
2017,2,17,2,2586424,333649,10556100,0.0316,Illinois,February,February 2017,2 2017,2017-02-01
2017,2,21,2,244620,31556,3670568,0.0086,Kentucky,February,February 2017,2 2017,2017-02-01
2017,2,22,2,717754,92590,3807282,0.0243,Louisiana,February,February 2017,2 2017,2017-02-01
2017,2,25,2,1962634,253180,5815595,0.0435,Massachusetts,February,February 2017,2 2017,2017-02-01
2017,2,29,2,1312305,169287,5037634,0.0336,Missouri,February,February 2017,2 2017,2017-02-01
2017,2,38,2,106924,13793,613251,0.0225,North Dakota,February,February 2017,2 2017,2017-02-01
2017,2,41,2,1085695,140055,3468412,0.0404,Oregon,February,February 2017,2 2017,2017-02-01
2017,2,47,2,957664,123539,5545920,0.0223,Tennessee,February,February 2017,2 2017,2017-02-01
2017,2,48,2,5353402,690589,22572383,0.0306,Texas,February,February 2017,2 2017,2017-02-01
2017,2,49,2,264134,34073,2376114,0.0143,Utah,February,February 2017,2 2017,2017-02-01
2017,2,51,2,1903575,245561,7015247,0.035,Virginia,February,February 2017,2 2017,2017-02-01
2017,2,55,2,1006746,129870,4805415,0.027000000000000003,Wisconsin,February,February 2017,2 2017,2017-02-01
2017,2,2,3,845710,38057,593378,0.0641,Alaska,February,February 2017,2 2017,2017-02-01
2017,2,5,3,3528088,158764,2455022,0.0647,Arkansas,February,February 2017,2 2017,2017-02-01
2017,2,8,3,7969597,358632,4634346,0.0774,Colorado,February,February 2017,2 2017,2017-02-01
2017,2,9,3,3559873,160194,3015481,0.0531,Connecticut,February,February 2017,2 2017,2017-02-01
2017,2,10,3,1344439,60500,799550,0.0757,Delaware,February,February 2017,2 2017,2017-02-01
2017,2,12,3,31736910,1428161,17722275,0.0806,Florida,February,February 2017,2 2017,2017-02-01
2017,2,17,3,16802205,756099,10556100,0.0716,Illinois,February,February 2017,2 2017,2017-02-01
2017,2,20,3,3870683,174181,2356231,0.0739,Kansas,February,February 2017,2 2017,2017-02-01
2017,2,21,3,4533440,204005,3670568,0.0556,Kentucky,February,February 2017,2 2017,2017-02-01
2017,2,25,3,7809330,351420,5815595,0.0604,Massachusetts,February,February 2017,2 2017,2017-02-01
2017,2,29,3,9010164,405457,5037634,0.0805,Missouri,February,February 2017,2 2017,2017-02-01
2017,2,38,3,1495247,67286,613251,0.1097,North Dakota,February,February 2017,2 2017,2017-02-01
2017,2,41,3,6561339,295260,3468412,0.0851,Oregon,February,February 2017,2 2017,2017-02-01
2017,2,47,3,9720247,437411,5545920,0.0789,Tennessee,February,February 2017,2 2017,2017-02-01
2017,2,48,3,40292159,1813147,22572383,0.0803,Texas,February,February 2017,2 2017,2017-02-01
2017,2,51,3,10261713,461777,7015247,0.0658,Virginia,February,February 2017,2 2017,2017-02-01
2017,3,2,1,141033,57964,593378,0.0977,Alaska,March,March 2017,3 2017,2017-03-01
2017,3,5,1,289006,118781,2455022,0.0484,Arkansas,March,March 2017,3 2017,2017-03-01
2017,3,8,1,1154429,474470,4634346,0.1024,Colorado,March,March 2017,3 2017,2017-03-01
2017,3,9,1,581433,238969,3015481,0.0792,Connecticut,March,March 2017,3 2017,2017-03-01
2017,3,10,1,280005,115082,799550,0.1439,Delaware,March,March 2017,3 2017,2017-03-01
2017,3,12,1,4217222,1733278,17722275,0.0978,Florida,March,March 2017,3 2017,2017-03-01
2017,3,17,1,1767023,726247,10556100,0.0688,Illinois,March,March 2017,3 2017,2017-03-01
2017,3,20,1,345188,141872,2356231,0.0602,Kansas,March,March 2017,3 2017,2017-03-01
2017,3,21,1,681101,279932,3670568,0.0763,Kentucky,March,March 2017,3 2017,2017-03-01
2017,3,22,1,814115,334601,3807282,0.0879,Louisiana,March,March 2017,3 2017,2017-03-01
2017,3,25,1,1212509,498341,5815595,0.0857,Massachusetts,March,March 2017,3 2017,2017-03-01
2017,3,29,1,1064454,437490,5037634,0.0868,Missouri,March,March 2017,3 2017,2017-03-01
2017,3,38,1,162070,66611,613251,0.1086,North Dakota,March,March 2017,3 2017,2017-03-01
2017,3,47,1,761605,313020,5545920,0.0564,Tennessee,March,March 2017,3 2017,2017-03-01
2017,3,48,1,2596052,1066977,22572383,0.0473,Texas,March,March 2017,3 2017,2017-03-01
2017,3,49,1,291071,119630,2376114,0.0503,Utah,March,March 2017,3 2017,2017-03-01
2017,3,51,1,943961,387968,7015247,0.0553,Virginia,March,March 2017,3 2017,2017-03-01
2017,3,55,1,919418,377881,4805415,0.0786,Wisconsin,March,March 2017,3 2017,2017-03-01
2017,3,2,2,207743,26799,593378,0.0452,Alaska,March,March 2017,3 2017,2017-03-01
2017,3,5,2,303000,39087,2455022,0.0159,Arkansas,March,March 2017,3 2017,2017-03-01
2017,3,8,2,1516369,195612,4634346,0.0422,Colorado,March,March 2017,3 2017,2017-03-01
2017,3,9,2,1297962,167437,3015481,0.0555,Connecticut,March,March 2017,3 2017,2017-03-01
2017,3,10,2,357865,46165,799550,0.0577,Delaware,March,March 2017,3 2017,2017-03-01
2017,3,12,2,7571086,976670,17722275,0.0551,Florida,March,March 2017,3 2017,2017-03-01
2017,3,17,2,3007626,387984,10556100,0.0368,Illinois,March,March 2017,3 2017,2017-03-01
2017,3,21,2,320378,41329,3670568,0.0113,Kentucky,March,March 2017,3 2017,2017-03-01
2017,3,22,2,849630,109602,3807282,0.0288,Louisiana,March,March 2017,3 2017,2017-03-01
2017,3,25,2,2722797,351241,5815595,0.0604,Massachusetts,March,March 2017,3 2017,2017-03-01
2017,3,29,2,1340458,172919,5037634,0.0343,Missouri,March,March 2017,3 2017,2017-03-01
2017,3,38,2,126127,16270,613251,0.0265,North Dakota,March,March 2017,3 2017,2017-03-01
2017,3,41,2,1285169,165787,3468412,0.0478,Oregon,March,March 2017,3 2017,2017-03-01
2017,3,47,2,968791,124974,5545920,0.0225,Tennessee,March,March 2017,3 2017,2017-03-01
2017,3,48,2,4658826,600989,22572383,0.0266,Texas,March,March 2017,3 2017,2017-03-01
2017,3,49,2,325582,42000,2376114,0.0177,Utah,March,March 2017,3 2017,2017-03-01
2017,3,51,2,2205239,284476,7015247,0.0406,Virginia,March,March 2017,3 2017,2017-03-01
2017,3,55,2,1022458,131897,4805415,0.0274,Wisconsin,March,March 2017,3 2017,2017-03-01
2017,3,2,3,1104293,49693,593378,0.0837,Alaska,March,March 2017,3 2017,2017-03-01
2017,3,5,3,3770863,169689,2455022,0.0691,Arkansas,March,March 2017,3 2017,2017-03-01
2017,3,8,3,9848197,443169,4634346,0.0956,Colorado,March,March 2017,3 2017,2017-03-01
2017,3,9,3,4292946,193183,3015481,0.0641,Connecticut,March,March 2017,3 2017,2017-03-01
2017,3,10,3,1576102,70925,799550,0.0887,Delaware,March,March 2017,3 2017,2017-03-01
2017,3,12,3,40430413,1819369,17722275,0.1027,Florida,March,March 2017,3 2017,2017-03-01
2017,3,17,3,21032499,946462,10556100,0.0897,Illinois,March,March 2017,3 2017,2017-03-01
2017,3,20,3,3892439,175160,2356231,0.0743,Kansas,March,March 2017,3 2017,2017-03-01
2017,3,21,3,6286329,282885,3670568,0.0771,Kentucky,March,March 2017,3 2017,2017-03-01
2017,3,25,3,10467658,471045,5815595,0.081,Massachusetts,March,March 2017,3 2017,2017-03-01
2017,3,29,3,11123045,500537,5037634,0.0994,Missouri,March,March 2017,3 2017,2017-03-01
2017,3,38,3,1598135,71916,613251,0.1173,North Dakota,March,March 2017,3 2017,2017-03-01
2017,3,41,3,7001122,315050,3468412,0.0908,Oregon,March,March 2017,3 2017,2017-03-01
2017,3,47,3,8487395,381933,5545920,0.0689,Tennessee,March,March 2017,3 2017,2017-03-01
2017,3,48,3,42841618,1927873,22572383,0.0854,Texas,March,March 2017,3 2017,2017-03-01
2017,3,51,3,12279624,552583,7015247,0.0788,Virginia,March,March 2017,3 2017,2017-03-01
2017,4,2,1,131717,54136,593378,0.0912,Alaska,April,April 2017,4 2017,2017-04-01
2017,4,5,1,326769,134302,2455022,0.0547,Arkansas,April,April 2017,4 2017,2017-04-01
2017,4,8,1,945519,388608,4634346,0.0839,Colorado,April,April 2017,4 2017,2017-04-01
2017,4,9,1,530414,218000,3015481,0.0723,Connecticut,April,April 2017,4 2017,2017-04-01
2017,4,10,1,268916,110524,799550,0.1382,Delaware,April,April 2017,4 2017,2017-04-01
2017,4,12,1,3220124,1323471,17722275,0.0747,Florida,April,April 2017,4 2017,2017-04-01
2017,4,17,1,1486325,610879,10556100,0.0579,Illinois,April,April 2017,4 2017,2017-04-01
2017,4,20,1,394536,162154,2356231,0.0688,Kansas,April,April 2017,4 2017,2017-04-01
2017,4,21,1,631720,259637,3670568,0.0707,Kentucky,April,April 2017,4 2017,2017-04-01
2017,4,22,1,729840,299964,3807282,0.0788,Louisiana,April,April 2017,4 2017,2017-04-01
2017,4,25,1,1008246,414389,5815595,0.0713,Massachusetts,April,April 2017,4 2017,2017-04-01
2017,4,29,1,980158,402845,5037634,0.08,Missouri,April,April 2017,4 2017,2017-04-01
2017,4,38,1,134596,55319,613251,0.0902,North Dakota,April,April 2017,4 2017,2017-04-01
2017,4,47,1,934786,384197,5545920,0.0693,Tennessee,April,April 2017,4 2017,2017-04-01
2017,4,48,1,3109741,1278104,22572383,0.0566,Texas,April,April 2017,4 2017,2017-04-01
2017,4,49,1,231808,95273,2376114,0.0401,Utah,April,April 2017,4 2017,2017-04-01
2017,4,51,1,899499,369694,7015247,0.0527,Virginia,April,April 2017,4 2017,2017-04-01
2017,4,55,1,1398414,574748,4805415,0.1196,Wisconsin,April,April 2017,4 2017,2017-04-01
2017,4,2,2,166416,21468,593378,0.0362,Alaska,April,April 2017,4 2017,2017-04-01
2017,4,5,2,369228,47630,2455022,0.0194,Arkansas,April,April 2017,4 2017,2017-04-01
2017,4,8,2,1376073,177513,4634346,0.0383,Colorado,April,April 2017,4 2017,2017-04-01
2017,4,9,2,1070698,138120,3015481,0.0458,Connecticut,April,April 2017,4 2017,2017-04-01
2017,4,10,2,326758,42152,799550,0.0527,Delaware,April,April 2017,4 2017,2017-04-01
2017,4,12,2,6342581,818193,17722275,0.0462,Florida,April,April 2017,4 2017,2017-04-01
2017,4,17,2,2698416,348096,10556100,0.033,Illinois,April,April 2017,4 2017,2017-04-01
2017,4,21,2,523184,67491,3670568,0.0184,Kentucky,April,April 2017,4 2017,2017-04-01
2017,4,22,2,763255,98460,3807282,0.0259,Louisiana,April,April 2017,4 2017,2017-04-01
2017,4,25,2,2326263,300088,5815595,0.0516,Massachusetts,April,April 2017,4 2017,2017-04-01
2017,4,29,2,1068064,137780,5037634,0.0274,Missouri,April,April 2017,4 2017,2017-04-01
2017,4,38,2,160336,20683,613251,0.0337,North Dakota,April,April 2017,4 2017,2017-04-01
2017,4,41,2,1458788,188184,3468412,0.0543,Oregon,April,April 2017,4 2017,2017-04-01
2017,4,47,2,1049128,135337,5545920,0.0244,Tennessee,April,April 2017,4 2017,2017-04-01
2017,4,48,2,4983229,642837,22572383,0.0285,Texas,April,April 2017,4 2017,2017-04-01
2017,4,49,2,268859,34683,2376114,0.0146,Utah,April,April 2017,4 2017,2017-04-01
2017,4,51,2,2049657,264406,7015247,0.0377,Virginia,April,April 2017,4 2017,2017-04-01
2017,4,55,2,1309427,168916,4805415,0.0352,Wisconsin,April,April 2017,4 2017,2017-04-01
2017,4,2,3,1069064,48108,593378,0.0811,Alaska,April,April 2017,4 2017,2017-04-01
2017,4,5,3,4105442,184745,2455022,0.0753,Arkansas,April,April 2017,4 2017,2017-04-01
2017,4,8,3,8949796,402741,4634346,0.0869,Colorado,April,April 2017,4 2017,2017-04-01
2017,4,9,3,4328935,194802,3015481,0.0646,Connecticut,April,April 2017,4 2017,2017-04-01
2017,4,10,3,1456969,65564,799550,0.08199999999999999,Delaware,April,April 2017,4 2017,2017-04-01
2017,4,12,3,35827699,1612246,17722275,0.091,Florida,April,April 2017,4 2017,2017-04-01
2017,4,17,3,20328054,914762,10556100,0.0867,Illinois,April,April 2017,4 2017,2017-04-01
2017,4,20,3,4814917,216671,2356231,0.092,Kansas,April,April 2017,4 2017,2017-04-01
2017,4,21,3,6690048,301052,3670568,0.08199999999999999,Kentucky,April,April 2017,4 2017,2017-04-01
2017,4,25,3,10183607,458262,5815595,0.0788,Massachusetts,April,April 2017,4 2017,2017-04-01
2017,4,29,3,10903214,490645,5037634,0.0974,Missouri,April,April 2017,4 2017,2017-04-01
2017,4,38,3,1934276,87042,613251,0.1419,North Dakota,April,April 2017,4 2017,2017-04-01
2017,4,41,3,8949102,402710,3468412,0.1161,Oregon,April,April 2017,4 2017,2017-04-01
2017,4,47,3,8889446,400025,5545920,0.0721,Tennessee,April,April 2017,4 2017,2017-04-01
2017,4,48,3,55984422,2519299,22572383,0.1116,Texas,April,April 2017,4 2017,2017-04-01
2017,4,51,3,11933973,537029,7015247,0.0766,Virginia,April,April 2017,4 2017,2017-04-01
2017,5,2,1,158173,65009,593378,0.1096,Alaska,May,May 2017,5 2017,2017-05-01
2017,5,5,1,291084,119635,2455022,0.0487,Arkansas,May,May 2017,5 2017,2017-05-01
2017,5,8,1,1176509,483545,4634346,0.1043,Colorado,May,May 2017,5 2017,2017-05-01
2017,5,9,1,648230,266423,3015481,0.0884,Connecticut,May,May 2017,5 2017,2017-05-01
2017,5,10,1,328348,134951,799550,0.1688,Delaware,May,May 2017,5 2017,2017-05-01
2017,5,12,1,3920402,1611285,17722275,0.0909,Florida,May,May 2017,5 2017,2017-05-01
2017,5,17,1,2043145,839733,10556100,0.0795,Illinois,May,May 2017,5 2017,2017-05-01
2017,5,20,1,345270,141906,2356231,0.0602,Kansas,May,May 2017,5 2017,2017-05-01
2017,5,21,1,573843,235849,3670568,0.0643,Kentucky,May,May 2017,5 2017,2017-05-01
2017,5,22,1,799698,328676,3807282,0.0863,Louisiana,May,May 2017,5 2017,2017-05-01
2017,5,25,1,1268448,521332,5815595,0.0896,Massachusetts,May,May 2017,5 2017,2017-05-01
2017,5,29,1,1087550,446983,5037634,0.0887,Missouri,May,May 2017,5 2017,2017-05-01
2017,5,38,1,177927,73128,613251,0.1192,North Dakota,May,May 2017,5 2017,2017-05-01
2017,5,47,1,852650,350439,5545920,0.0632,Tennessee,May,May 2017,5 2017,2017-05-01
2017,5,48,1,3262063,1340708,22572383,0.0594,Texas,May,May 2017,5 2017,2017-05-01
2017,5,49,1,245255,100800,2376114,0.0424,Utah,May,May 2017,5 2017,2017-05-01
2017,5,51,1,974894,400681,7015247,0.0571,Virginia,May,May 2017,5 2017,2017-05-01
2017,5,55,1,1067255,438642,4805415,0.0913,Wisconsin,May,May 2017,5 2017,2017-05-01
2017,5,2,2,225526,29093,593378,0.049,Alaska,May,May 2017,5 2017,2017-05-01
2017,5,5,2,322580,41613,2455022,0.017,Arkansas,May,May 2017,5 2017,2017-05-01
2017,5,8,2,1528132,197129,4634346,0.0425,Colorado,May,May 2017,5 2017,2017-05-01
2017,5,9,2,1187011,153124,3015481,0.0508,Connecticut,May,May 2017,5 2017,2017-05-01
2017,5,10,2,370195,47755,799550,0.0597,Delaware,May,May 2017,5 2017,2017-05-01
2017,5,12,2,6068368,782819,17722275,0.0442,Florida,May,May 2017,5 2017,2017-05-01
2017,5,17,2,3201436,412985,10556100,0.0391,Illinois,May,May 2017,5 2017,2017-05-01
2017,5,21,2,496274,64019,3670568,0.0174,Kentucky,May,May 2017,5 2017,2017-05-01
2017,5,22,2,826811,106659,3807282,0.027999999999999997,Louisiana,May,May 2017,5 2017,2017-05-01
2017,5,25,2,2534209,326913,5815595,0.0562,Massachusetts,May,May 2017,5 2017,2017-05-01
2017,5,29,2,1191653,153723,5037634,0.0305,Missouri,May,May 2017,5 2017,2017-05-01
2017,5,38,2,121996,15738,613251,0.0257,North Dakota,May,May 2017,5 2017,2017-05-01
2017,5,41,2,1114087,143717,3468412,0.0414,Oregon,May,May 2017,5 2017,2017-05-01
2017,5,47,2,1067474,137704,5545920,0.0248,Tennessee,May,May 2017,5 2017,2017-05-01
2017,5,48,2,4567998,589272,22572383,0.0261,Texas,May,May 2017,5 2017,2017-05-01
2017,5,49,2,294120,37941,2376114,0.016,Utah,May,May 2017,5 2017,2017-05-01
2017,5,51,2,2277394,293784,7015247,0.0419,Virginia,May,May 2017,5 2017,2017-05-01
2017,5,55,2,1077970,139058,4805415,0.0289,Wisconsin,May,May 2017,5 2017,2017-05-01
2017,5,2,3,1457979,65609,593378,0.1106,Alaska,May,May 2017,5 2017,2017-05-01
2017,5,5,3,4387883,197455,2455022,0.0804,Arkansas,May,May 2017,5 2017,2017-05-01
2017,5,8,3,10684955,480823,4634346,0.1038,Colorado,May,May 2017,5 2017,2017-05-01
2017,5,9,3,5209941,234447,3015481,0.0777,Connecticut,May,May 2017,5 2017,2017-05-01
2017,5,10,3,2124368,95597,799550,0.1196,Delaware,May,May 2017,5 2017,2017-05-01
2017,5,12,3,38488906,1732001,17722275,0.0977,Florida,May,May 2017,5 2017,2017-05-01
2017,5,17,3,25126460,1130691,10556100,0.1071,Illinois,May,May 2017,5 2017,2017-05-01
2017,5,20,3,4224806,190116,2356231,0.0807,Kansas,May,May 2017,5 2017,2017-05-01
2017,5,21,3,5983942,269277,3670568,0.0734,Kentucky,May,May 2017,5 2017,2017-05-01
2017,5,25,3,12158741,547143,5815595,0.0941,Massachusetts,May,May 2017,5 2017,2017-05-01
2017,5,29,3,12137281,546178,5037634,0.1084,Missouri,May,May 2017,5 2017,2017-05-01
2017,5,38,3,2116074,95223,613251,0.1553,North Dakota,May,May 2017,5 2017,2017-05-01
2017,5,41,3,7206334,324285,3468412,0.0935,Oregon,May,May 2017,5 2017,2017-05-01
2017,5,47,3,10537470,474186,5545920,0.0855,Tennessee,May,May 2017,5 2017,2017-05-01
2017,5,48,3,49560853,2230238,22572383,0.0988,Texas,May,May 2017,5 2017,2017-05-01
2017,5,51,3,14616567,657746,7015247,0.0938,Virginia,May,May 2017,5 2017,2017-05-01
2017,6,2,1,181130,74444,593378,0.1255,Alaska,June,June 2017,6 2017,2017-06-01
2017,6,5,1,327954,134789,2455022,0.0549,Arkansas,June,June 2017,6 2017,2017-06-01
2017,6,8,1,1438590,591260,4634346,0.1276,Colorado,June,June 2017,6 2017,2017-06-01
2017,6,9,1,768255,315753,3015481,0.1047,Connecticut,June,June 2017,6 2017,2017-06-01
2017,6,10,1,398020,163586,799550,0.2046,Delaware,June,June 2017,6 2017,2017-06-01
2017,6,12,1,4603094,1891872,17722275,0.1068,Florida,June,June 2017,6 2017,2017-06-01
2017,6,17,1,2358265,969247,10556100,0.0918,Illinois,June,June 2017,6 2017,2017-06-01
2017,6,20,1,377964,155343,2356231,0.0659,Kansas,June,June 2017,6 2017,2017-06-01
2017,6,21,1,650132,267204,3670568,0.0728,Kentucky,June,June 2017,6 2017,2017-06-01
2017,6,22,1,869685,357440,3807282,0.0939,Louisiana,June,June 2017,6 2017,2017-06-01
2017,6,25,1,1883692,774198,5815595,0.1331,Massachusetts,June,June 2017,6 2017,2017-06-01
2017,6,29,1,1193229,490417,5037634,0.0974,Missouri,June,June 2017,6 2017,2017-06-01
2017,6,38,1,201090,82648,613251,0.1348,North Dakota,June,June 2017,6 2017,2017-06-01
2017,6,47,1,916352,376621,5545920,0.0679,Tennessee,June,June 2017,6 2017,2017-06-01
2017,6,48,1,3225024,1325485,22572383,0.0587,Texas,June,June 2017,6 2017,2017-06-01
2017,6,49,1,367769,151153,2376114,0.0636,Utah,June,June 2017,6 2017,2017-06-01
2017,6,51,1,966995,397435,7015247,0.0567,Virginia,June,June 2017,6 2017,2017-06-01
2017,6,55,1,1416800,582305,4805415,0.1212,Wisconsin,June,June 2017,6 2017,2017-06-01
2017,6,2,2,252221,32537,593378,0.0548,Alaska,June,June 2017,6 2017,2017-06-01
2017,6,5,2,330236,42600,2455022,0.0174,Arkansas,June,June 2017,6 2017,2017-06-01
2017,6,8,2,1708736,220427,4634346,0.0476,Colorado,June,June 2017,6 2017,2017-06-01
2017,6,9,2,1298365,167489,3015481,0.0555,Connecticut,June,June 2017,6 2017,2017-06-01
2017,6,10,2,405512,52311,799550,0.0654,Delaware,June,June 2017,6 2017,2017-06-01
